courses,link,origin_site,profession,subscription,scope
Becoming A Lash Technician *DETAILED* Survival Guide| Start Off Right!!,https://www.youtube.com/watch?v=IK849-y2eG4,youtube.com,Eyelash Technician/Lash Technician,free,Cosmetology _ Related Studies
WHAT YOU NEED AS A LASH TECH!,https://www.youtube.com/watch?v=ct-hAGbckx8,youtube.com,Eyelash Technician/Lash Technician,free,Cosmetology _ Related Studies
Lash Mapping Techniques For Beginners,https://www.youtube.com/watch?v=9ej8ryl_MOE,youtube.com,Eyelash Technician/Lash Technician,free,Cosmetology _ Related Studies
HOW TO BECOME A LASH TECHNICIAN,https://www.youtube.com/watch?v=eTeFSQNTYJ8,youtube.com,Eyelash Technician/Lash Technician,free,Cosmetology _ Related Studies
BECOMING A LASH TECH || 3 TIPS YOU NEED TO KNOW,https://www.youtube.com/watch?v=K3uOVnTnw1o,youtube.com,Eyelash Technician/Lash Technician,free,Cosmetology _ Related Studies
,,,YouTube Channel,,Cosmetology _ Related Studies
1950s and Pierre Cardin,https://www.kadenze.com/courses/cardin-to-castelbajac-style-in-french-fashion/sessions/1950s-and-pierre-cardin,kadenze.com," Image Consultant / Stylist",,Cosmetology _ Related Studies
1970s and Kenzo (Takada),https://www.kadenze.com/courses/cardin-to-castelbajac-style-in-french-fashion/sessions/1970s-and-kenzo-takada,kadenze.com," Image Consultant / Stylist",,Cosmetology _ Related Studies
1960s and Yves Saint Laurent,https://www.kadenze.com/courses/cardin-to-castelbajac-style-in-french-fashion/sessions/1960s-and-yves-saint-laurent,kadenze.com," Image Consultant / Stylist",,Cosmetology _ Related Studies
FASHION AND SUSTAINABILITY LONDON COLLEGE OF FASHION,https://www.futurelearn.com/courses/fashion-and-sustainability/6/todo/64595,futurelearn.com," Image Consultant / Stylist",,Cosmetology _ Related Studies
"How to Become A Wardrobe Stylist, Interning & My Story",https://www.youtube.com/watch?v=uQaCv38e89w,youtube.com," Image Consultant / Stylist",free,Cosmetology _ Related Studies
HOW TO BECOME A FASHION STYLIST: 5 STEPS TO START YOUR CAREER TODAY!,https://www.youtube.com/watch?v=1jyEiD0dGi8,youtube.com," Image Consultant / Stylist",free,Cosmetology _ Related Studies
Stylist Anita Patrickson Reveals the Secret Sauce Behind Dressing Celebrities,https://www.youtube.com/watch?v=1lyd3oN4HL8,youtube.com," Image Consultant / Stylist",free,Cosmetology _ Related Studies
"How To Work In Fashion: Louis Vuitton, Off-White, & Beyonce | Aimee Song",https://www.youtube.com/watch?v=Zv8dBhOYtvs,youtube.com,YouTube Channel,free,Cosmetology _ Related Studies
What It's Really Like To Be A Celebrity Stylist | Her Own,https://www.youtube.com/watch?v=ngXKoaVn29s,youtube.com,YouTube Channel,free,Cosmetology _ Related Studies
How To Become A Successful and Profitable Personal Stylist {Part 1},https://www.youtube.com/watch?v=cuzmDWngESk,youtube.com,YouTube Channel,free,Cosmetology _ Related Studies
"How to Break into the Fashion Industry with Alexa Chung | S1, E1 | Future of Fashion | British Vogue",https://www.youtube.com/watch?v=K36uZgYEBOU,youtube.com,YouTube Channel,free,Cosmetology _ Related Studies
Stylist Kate Young: From Anna Wintour's Assistant to Transforming Selena Gomez | Magic Hour,https://www.youtube.com/watch?v=PciScP89LnQ,youtube.com,YouTube Channel,free,Cosmetology _ Related Studies
WARDROBE STYLING CAREER: WHAT I WISH I KNEW,https://www.youtube.com/watch?v=ozke3Z06r5M,youtube.com,YouTube Channel,free,Cosmetology _ Related Studies
Careers in Fashion: An Industry Overview,https://www.youtube.com/watch?v=YG5_xW6869c,youtube.com,YouTube Channel,free,Cosmetology _ Related Studies
How To Become A Fashion Stylist | Fashion Styling Tips,https://www.youtube.com/watch?v=j5LogAUWM60,youtube.com,YouTube Channel,free,Cosmetology _ Related Studies
,,,YouTube Channel,,Cosmetology _ Related Studies
Learn new massage technique Meyobay,https://www.udemy.com/course/learn-new-massage-technique-meyobay/,www.udemy.com,Massage Therapist,,Cosmetology _ Related Studies
ESL for Massage Therapy,https://www.udemy.com/course/esl-for-massage-therapy/,www.udemy.com,Massage Therapist,,Cosmetology _ Related Studies
Setting up a successful Massage Business,https://www.udemy.com/course/setting-up-a-successful-massage-business/,www.udemy.com,Massage Therapist,,Cosmetology _ Related Studies
ACUPRESSURE - Miracle Points,https://www.udemy.com/course/acupressures-miracle-points/,www.udemy.com,Massage Therapist,,Cosmetology _ Related Studies
Learn Self Massage Using a Tennis Ball,https://www.udemy.com/course/tennis-ball-self-massage/,www.udemy.com,Massage Therapist,,Cosmetology _ Related Studies
Low Back Pain Relief Secrets,https://www.udemy.com/course/low-back-pain-relief-secrets/,www.udemy.com,Massage Therapist,,Cosmetology _ Related Studies
Introduction to Physical Therapy Aides,https://alison.com/course/introduction-to-physical-therapy-aides,alison.com,Massage Therapist,free,Cosmetology _ Related Studies
Treatment and Movement of a Patient in Physical Therapy,https://alison.com/course/treatment-and-movement-of-a-patient-in-physical-therapy,alison.com,Massage Therapist,free,Cosmetology _ Related Studies
,,,Bath and Body,,Cosmetology _ Related Studies
HOW TO START A SALON BUSINESS,https://www.youtube.com/watch?v=AZB-cVzqpTc,youtube.com,Salon Manager/Spa Owner,free,Cosmetology _ Related Studies
23-YR OLD SALON OWNER'S TOP 5 TIPS FOR SUCCESS IN THE BEAUTY INDUSTRY,https://www.youtube.com/watch?v=-xoTV0DK_rw,youtube.com,Salon Manager/Spa Owner,free,Cosmetology _ Related Studies
Salon Owner | What I do & how much I make | Part 1 | Khan Academy,https://www.youtube.com/watch?v=HH266lsQQJA,youtube.com,Salon Manager/Spa Owner,free,Cosmetology _ Related Studies
Opening My First Salon | The Documentary |,https://www.youtube.com/watch?v=pSLrFrv3OvU,youtube.com,Salon Manager/Spa Owner,free,Cosmetology _ Related Studies
How I opened my Salon (including how much I spent!) | Hairstylist Business Tips,https://www.youtube.com/watch?v=omLSf2So-n0,youtube.com,Salon Manager/Spa Owner,free,Cosmetology _ Related Studies
How to get salon clients - Marketing and promoting your beauty business online,https://www.youtube.com/watch?v=Qvo4_WAkT1M,youtube.com,Salon Manager/Spa Owner,free,Cosmetology _ Related Studies
Best Advice for Salon Owners - TheSalonGuy,https://www.youtube.com/watch?v=jcEnHnyQlYw,youtube.com,Salon Manager/Spa Owner,free,Cosmetology _ Related Studies
5 steps to opening your successful Hair Salon,https://www.youtube.com/watch?v=iqFbsIPkZCQ,youtube.com,Salon Manager/Spa Owner,free,Cosmetology _ Related Studies
The Life Of A Successful Beauty Therapist and Salon Owner | The Gracious Life,https://www.youtube.com/watch?v=Z5ZZObKEbxY,youtube.com,YouTube Channel,free,Cosmetology _ Related Studies
Tabatha Coffey's 7 Tips To Success,https://www.youtube.com/watch?v=rO3_vivfAwQ,youtube.com,YouTube Channel,free,Cosmetology _ Related Studies
HOW I WENT FROM COSMETOLOGY SCHOOL TO OWNING A SALON IN 5 YEARS!,https://www.youtube.com/watch?v=GeDJUtUvCgY,youtube.com,YouTube Channel,free,Cosmetology _ Related Studies
,,,YouTube Channel,,Cosmetology _ Related Studies
