courses,link,origin_site,profession,subscription,scope
Military to Civilian Transition,https://www.udemy.com/course/military-to-civilian-transition/,udemy.com,Helicopter,free,Military Science
Intro to the Army Professional Reading Programme,https://www.udemy.com/course/intro-to-the-army-professional-reading-programme/,udemy.com,Health ,free,Military Science
University Studies for Student Veterans,https://www.edx.org/course/university-studies-for-student-veterans,edx.org,Health ,free,Military Science
Find Your Calling: Career Transition Principles for Returning Veterans,https://www.edx.org/course/find-your-calling-career-transition-principles-for,edx.org,Health ,free,Military Science
Attaining Higher Education,https://www.edx.org/course/attaining-higher-education,edx.org,Health ,free,Military Science
Military Ethics: an Introduction,https://www.futurelearn.com/courses/military-ethics,Futurelearn.com,Health ,free,Military Science
,,,Self Defense,,Military Science
,,,Law,,Military Science
,,,Cybersecurity,,Military Science
