courses,link,origin_site,profession,subscription,scope
"Philosophy, Science and Religion: Science and Philosophy",https://www.coursera.org/learn/philosophy-science-religion-1,coursera.org,philosopher,free,Humanities
"Philosophy, Science and Religion: Philosophy and Religion",https://www.coursera.org/learn/philosophy-science-religion-2,coursera.org,philosopher,free,Humanities
"Philosophy, Science and Religion: Religion and Science",https://www.coursera.org/learn/philosophy-science-religion-3,coursera.org,philosopher,free,Humanities
Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,https://www.coursera.org/learn/philosophy-cognitive-sciences,coursera.org,philosopher,free,Humanities
Philosophy and the Sciences: Introduction to the Philosophy of Physical Sciences,https://www.coursera.org/learn/philosophy-physical-sciences,coursera.org,philosopher,free,Humanities
Social Psychology,https://www.coursera.org/learn/social-psychology,coursera.org,philosopher,free,Humanities
Relativism,https://www.coursera.org/learn/relativism,coursera.org,philosopher,free,Humanities
The Modern and the Postmodern (Part 1),https://www.coursera.org/learn/modern-postmodern-1#syllabus,coursera.org,philosopher,free,Humanities
The Modern and the Postmodern (Part 2),https://www.coursera.org/learn/modern-postmodern-2,coursera.org,philosopher,free,Humanities
Philosophy and Critical Thinking,https://www.edx.org/course/philosophy-and-critical-thinking,edx.org,philosopher,free,Humanities
Philosophy of Science for Engineers and Scientists,https://www.edx.org/course/philosophy-of-science-for-engineers-and-scientists,edx.org,philosopher,free,Humanities
"Plato, Socrates, and the Birth of Western Philosophy | 西方哲学精神探源",https://www.edx.org/course/plato-socrates-and-the-birth-of-western-philosophy,edx.org,philosopher,free,Humanities
Indian & Tibetan River of Buddhism,https://www.edx.org/course/indian-tibetan-river-of-buddhism,edx.org,philosopher,free,Humanities
Philosophy of anxiety,https://www.udemy.com/course/philosophy-of-anxiety/,www.udemy.com,philosopher,free,Humanities
The Conscious Mind - A Philosophical Road Trip,https://www.edx.org/course/the-conscious-mind-a-philosophical-road-trip,edx.org,philosopher,free,Humanities
Minds and Machines,https://www.edx.org/course/minds-and-machines,edx.org,philosopher,free,Humanities
HOPE: Human Odyssey to Political Existentialism,https://www.edx.org/course/hope-human-odyssey-to-political-existentialism,edx.org,philosopher,free,Humanities
Libertarian Free Will: Neuroscientific and Philosophical Evidence,https://www.edx.org/course/libertarian-free-will-neuroscientific-and-philosop,edx.org,philosopher,free,Humanities
Existential Well-being Counseling: A Person-centered Experiential Approach,https://www.edx.org/course/existential-well-being-counseling-a-person-centere,edx.org,philosopher,free,Humanities
"Introduction to Philosophy: God, Knowledge and Consciousness",https://www.edx.org/course/introduction-to-philosophy-god-knowledge-and-con-2,edx.org,philosopher,free,Humanities
Global Ethics: An Introduction,https://www.futurelearn.com/courses/global-ethics,futurelearn.com,philosopher,free,Humanities
"Understanding Ramon Llull: ​Philosophy, Arts and Science through the Ars Combinatoria",https://www.futurelearn.com/courses/ramon-llull,futurelearn.com,philosopher,free,Humanities
,,,philosopher,,Humanities
,,,philosopher,,Humanities
Recovering the Humankind's Past and Saving the Universal Heritage,https://www.coursera.org/learn/preserving-cultural-heritage,coursera.org,archaeologist,free,Humanities
Osteoarchaeology: The Truth in Our Bones,https://www.coursera.org/learn/truthinourbones-osteoarchaeology-archaeology,coursera.org,archaeologist,free,Humanities
Forensic Archaeology and Anthropology,https://www.futurelearn.com/courses/forensic-archaeology-and-anthropology,futurelearn.com,Mediterranean Civilization,free,Humanities
Archaeology: from Dig to Lab and Beyond,https://www.futurelearn.com/courses/archaeology,futurelearn.com,Mediterranean Civilization,free,Humanities
The Bible in Light of the Ancient Near East,https://www.edx.org/course/the-bible-in-light-of-the-ancient-near-east-2,edx.org,Israel and Judah,free,Humanities
,,,Israel and Judah,,Humanities
Spirituality and Sensuality: Sacred Objects in Religious Life,https://www.edx.org/course/spirituality-and-sensuality-sacred-objects-in-reli,edx.org,Religion researcher/Religion professor,free,Humanities
Religious Literacy: Traditions and Scriptures,https://www.edx.org/course/religious-literacy-traditions-and-scriptures,edx.org,Christianity ,free,Humanities
"Religion, Conflict and Peace",https://www.edx.org/course/religion-conflict-and-peace,edx.org,Christianity ,free,Humanities
Faith and Finance,https://www.edx.org/course/faith-and-finance,edx.org,Islam,free,Humanities
Religion and Conflict,https://www.futurelearn.com/courses/religion-and-conflict,futurelearn.com," Jewish",free,Humanities
"Why Religion Matters: Religious Literacy, Culture and Diversity",https://www.futurelearn.com/courses/why-religion-matters,futurelearn.com," Jewish",free,Humanities
"Religion, Radicalisation, Resilience",https://www.futurelearn.com/courses/religion-radicalisation-resilience,futurelearn.com," Jewish",free,Humanities
Governing Religion: European Challenges and Asian Approaches,https://www.futurelearn.com/courses/governing-religion-european-challenges-and-asian-approaches,futurelearn.com," Jewish",free,Humanities
Understanding Diversity and Inclusion,https://www.futurelearn.com/courses/empire,futurelearn.com," Jewish",free,Humanities
Interfaith Dialogue for Combating Extremism among Young People,https://www.futurelearn.com/courses/interfaith-dialogue,futurelearn.com," Jewish",free,Humanities
Radical Spirituality: the Early History of the Quakers,https://www.futurelearn.com/courses/quakers,futurelearn.com," Jewish",free,Humanities
"Working Supportively With Refugees: Principles, Skills and Perspectives",https://www.futurelearn.com/courses/cultural-mediation,futurelearn.com," Jewish",free,Humanities
Antisemitism: From Its Origins to the Present,https://www.futurelearn.com/courses/antisemitism,futurelearn.com," Jewish",free,Humanities
A Journey through Western Christianity: from Persecuted Faith to Global Religion (200 - 1650),https://www.coursera.org/learn/western-christianity-200-1650,coursera.org," Jewish",free,Humanities
Science & Religion 101,https://www.coursera.org/learn/science-and-religion-101,coursera.org,Buddhism,free,Humanities
History of the Black Church in America,https://www.udemy.com/course/history-of-the-black-church-in-america/,www.udemy.com,Buddhism,free,Humanities
Ancient Non-Christian Witnesses about Jesus,https://www.udemy.com/course/ancient-non-christian-witnesses-about-jesus/,www.udemy.com," Jewish",free,Humanities
,,," Jewish",,Humanities
Anthropology of Current World Issues,https://www.edx.org/course/anthropology-of-current-world-issues,edx.org,Anthropologist,free,Humanities
Bipedalism: The Science of Upright Walking,https://www.edx.org/course/bipedalism-the-science-of-upright-walking,edx.org,Anthropologist,free,Humanities
Introduction to Human Evolution,https://www.edx.org/course/introduction-to-human-evolution-2,edx.org,Anthropologist,free,Humanities
,,,Anthropologist,,Humanities
Writing The West: Literature & Place,https://www.udemy.com/course/writing-the-west/,www.udemy.com,Russia,,Humanities
Understanding Diaspora...,https://www.udemy.com/course/understanding-diaspora/,www.udemy.com,Russia,,Humanities
Ignite Your Passion for Reading: Fall in Love with Books,https://www.udemy.com/course/books/,www.udemy.com,Russia,,Humanities
Modern Masterpieces of World Literature,https://www.edx.org/course/modern-masterpieces-of-world-literature,edx.org,Russia,free,Humanities
Masterpieces of World Literature,https://www.edx.org/course/masterpieces-of-world-literature,edx.org,Russia,free,Humanities
The Divine Comedy: Dante's Journey to Freedom,https://www.edx.org/course/the-divine-comedy-dantes-journey-to-freedom,edx.org,Russia,free,Humanities
The History of the Book in the Early Modern Period: 1450 to 1800,https://www.futurelearn.com/courses/history-of-the-book,futurelearn.com,Shakespeare,free,Humanities
Literature of the English Country House,https://www.futurelearn.com/courses/country-house-literature,futurelearn.com,Jane Austen,free,Humanities
How to Read a Novel,https://www.futurelearn.com/courses/how-to-read-a-novel,futurelearn.com,Jane Austen,free,Humanities
Understanding English Dictionaries,https://www.futurelearn.com/courses/understanding-dictionaries,futurelearn.com,Jane Austen,free,Humanities
"Robert Burns: Poems, Songs and Legacy",https://www.futurelearn.com/courses/robert-burns,futurelearn.com,Jane Austen,free,Humanities
,,,Jane Austen,,Humanities
Modern Art & Ideas,https://www.coursera.org/learn/modern-art-ideas,coursera.org,Art Director/Creative Director/Designer/Art Professor,free,Humanities
What Is Contemporary Art?,https://www.coursera.org/learn/contemporary-art,coursera.org,Art Director/Creative Director/Designer/Art Professor,free,Humanities
Art & Activity: Interactive Strategies for Engaging with Art,https://www.coursera.org/learn/art-activity,coursera.org,Art Director/Creative Director/Designer/Art Professor,free,Humanities
