courses,link,origin_site,profession,subscription,scope
general sales tecs ,https://alison.com/courses/sales-techniques-interacting-with-customers-revised/content?event=login,alison.com,Sales Manager,free,Services
Diploma in Sales Management - Revised,https://alison.com/course/diploma-in-sales-management-revised,alison.com,Sales Manager,free,Services
Hidden Secrets Of Sales & Marketing - Part One,https://alison.com/course/hidden-secrets-of-sales-and-marketing-part-one,alison.com,Sales Manager,free,Services
,,,Sales Manager,,Services
Introduction to Hospitality and Tourism Industry,https://www.edx.org/course/introduction-to-hospitality-and-tourism-industry,edx.org,Hotel manager/Tourism Manager,free,Services
How your hotel can rank higher on TripAdvisor in 90 Days,https://www.udemy.com/course/how-your-hotel-can-rank-higher-on-tripadvisor-in-90-days/,www.udemy.com,Marketing,free,Services
The fundamentals of hotel distribution,https://www.coursera.org/learn/hotel-distribution,Coursera.org,Marketing,free,Services
Introduction to the Travel & Tourism Industry: Passport to the World,https://www.futurelearn.com/courses/passport,Futurelearn.com,Hospitality & Healthcare,free,Services
Hospitality & Tourism Management Training,https://study.com/academy/course/hospitality-tourism-management.html,Study.com,Hospitality & Healthcare,free,Services
Hotel Management Course (Short Course),https://www.bolc.co.uk/free-hotel-management-courses.html,bolc.co.uk,Hospitality & Healthcare,free,Services
Diploma in Hospitality Management - Revised 2017,https://alison.com/course/diploma-in-hospitality-management---1259,alison.com,Hospitality & Healthcare,free,Services
Hotel Management (Short Course),https://www.oxfordhomestudy.com/courses/hospitality-management-courses-online/free-hospitality-courses,oxfordhomestudy.com,Hospitality & Healthcare,free,Services
Hospitality Management Studies - Hotel Operations - Revised,https://alison.com/course/hospitality-management-studies-hotel-operations-revised,alison.com,Hospitality & Healthcare,free,Services
Introduction to Hospitality Management Studies - Revised,https://alison.com/course/introduction-to-hospitality-management-studies-revised,alison.com,Hospitality & Healthcare,free,Services
Advanced Diploma in Tourism and Hospitality Management,https://alison.com/course/advanced-diploma-in-tourism-and-hospitality-management,alison.com,Hospitality & Healthcare,free,Services
Introduction to Hospitality Management Studies - Revised,https://alison.com/course/introduction-to-hospitality-management-studies-revised,alison.com,Hospitality & Healthcare,free,Services
Hospitality Management Studies - Hotel Operations - Revised,https://alison.com/course/hospitality-management-studies-hotel-operations-revised,alison.com,Hospitality & Healthcare,free,Services
ElektraWeb Hotel Management System,https://www.udemy.com/course/elektraweb-en/,www.udemy.com,Hospitality & Healthcare,free,Services
Luxury Management,https://www.edx.org/course/luxury-management-2,edx.org,Customer Relations,free,Services
Hospitality and Tourism Technology and Innovation,https://www.edx.org/course/hospitality-and-tourism-technology-and-innovatio-2,edx.org,Human Resources,free,Services
,,,Human Resources,,Services
Introduction to Modern Retailers and Consumers,https://alison.com/course/introduction-to-modern-retailers-and-consumers,alison.com,Retailer/Retail Manager/Retail Merchandiser,free,Services
Retail management,https://alison.com/courses/retail-management-merchandising-distribution-and-marketing/content?event=login,alison.com,Retailer/Retail Manager/Retail Merchandiser,free,Services
Channel Management and Retailing,,Coursera.org,Retailer/Retail Manager/Retail Merchandiser,,Services
Retail Fundamentals,https://www.edx.org/course/retail-fundamentals,edx.org,Retailer/Retail Manager/Retail Merchandiser,free,Services
Introduction to Retail Management,https://www.edx.org/course/introduction-to-retail-management,edx.org,Retailer/Retail Manager/Retail Merchandiser,free,Services
Impact of Social Media on the Logistics,https://www.udemy.com/course/social-media-and-its-impact-on-the-logistic/,www.udemy.com,Retailer/Retail Manager/Retail Merchandiser,free,Services
Digital Skills: Retail,https://www.futurelearn.com/courses/digital-skills-retail,futurelearn.com,Retailer/Retail Manager/Retail Merchandiser,free,Services
Business Futures: Understanding Omni-channel Retailing and Supply Chains,https://www.futurelearn.com/courses/omni-channel-retailing,futurelearn.com,Retailer/Retail Manager/Retail Merchandiser,free,Services
Supply Chains in Practice: How Things Get to You,https://www.futurelearn.com/courses/supply-chains,futurelearn.com,Retailer/Retail Manager/Retail Merchandiser,free,Services
,,,Retailer/Retail Manager/Retail Merchandiser,,Services
Wall street 101- Understanding Financial Services,https://www.udemy.com/course/wall-street-101-the-financial-services-landscape/,www.udemy.com,Financial Planner/manager/Financial Analyst,free,Services
The Hidden Truth behind Financial Advice,https://www.udemy.com/course/the-hidden-truth-behind-financial-advice/,www.udemy.com,Financial Planner/manager/Financial Analyst,free,Services
Social Media for Financial Services,https://www.udemy.com/course/financial-services/,www.udemy.com,Financial Planner/manager/Financial Analyst,free,Services
Introduction to Blockchain for Financial Services,https://www.coursera.org/learn/intro-blockchain-financial-services,Coursera.org,Financial Planner/manager/Financial Analyst,free,Services
