courses,link,origin_site,profession,subscription,scope
Stress and Anxiety Relief for Women in the 21st Century,https://www.udemy.com/course/healing-yoga-and-meditation/,www.udemy.com,Chinese ,free,Reabilitation _ Therapy
10 STRESS REDUCTION TIPS FOR ANXIETY AND WORRY MANAGEMENT,https://www.udemy.com/course/10-easy-stress-management-tips-to-eliminate-anxiety-worry/,www.udemy.com,Chinese ,free,Reabilitation _ Therapy
Chakra Healing Meditation,https://www.udemy.com/course/chakra-healing-meditation/,www.udemy.com,Chinese ,free,Reabilitation _ Therapy
Mental Health for Coping with Stress & Anxiety (Coronavirus),https://www.udemy.com/course/mental-health-for-coping-with-stress-anxiety-covid-19/,www.udemy.com,Chinese ,free,Reabilitation _ Therapy
Meditation: A way to achieve your goals in your life,https://www.coursera.org/learn/self-reflection-meditation,Coursera.org,Chinese ,free,Reabilitation _ Therapy
De-Mystifying Mindfulness,https://www.coursera.org/learn/mindfulness,Coursera.org,Chinese ,free,Reabilitation _ Therapy
"Understanding Anxiety, Depression and CBT",https://www.futurelearn.com/courses/anxiety-depression-and-cbt,futurelearn.com,Yoga,free,Reabilitation _ Therapy
Demystifying Mindfulness,https://www.futurelearn.com/courses/de-mystifying-mindfulness,futurelearn.com,Yoga,free,Reabilitation _ Therapy
,,,Healing,,Reabilitation _ Therapy
Learn new massage technique Meyobay,https://www.udemy.com/course/learn-new-massage-technique-meyobay/,www.udemy.com,Massage Therapist,,Reabilitation _ Therapy
ESL for Massage Therapy,https://www.udemy.com/course/esl-for-massage-therapy/,www.udemy.com,Massage Therapist,,Reabilitation _ Therapy
Setting up a successful Massage Business,https://www.udemy.com/course/setting-up-a-successful-massage-business/,www.udemy.com,Massage Therapist,,Reabilitation _ Therapy
ACUPRESSURE - Miracle Points,https://www.udemy.com/course/acupressures-miracle-points/,www.udemy.com,Massage Therapist,,Reabilitation _ Therapy
Learn Self Massage Using a Tennis Ball,https://www.udemy.com/course/tennis-ball-self-massage/,www.udemy.com,Massage Therapist,,Reabilitation _ Therapy
Low Back Pain Relief Secrets,https://www.udemy.com/course/low-back-pain-relief-secrets/,www.udemy.com,Massage Therapist,,Reabilitation _ Therapy
Introduction to Physical Therapy Aides,https://alison.com/course/introduction-to-physical-therapy-aides,alison.com,Massage Therapist,free,Reabilitation _ Therapy
Treatment and Movement of a Patient in Physical Therapy,https://alison.com/course/treatment-and-movement-of-a-patient-in-physical-therapy,alison.com,Massage Therapist,free,Reabilitation _ Therapy
