courses,link,origin_site,profession,subscription,scope
"Cosmic Rays, Dark Matter, and the Mysteries of the Universe",https://www.edx.org/course/cosmic-rays-dark-matter-and-the-mysteries-of-the-2,edx.org,Physicist,free,Physical Sciences
Super-Earths and Life,https://www.edx.org/course/super-earths-and-life,edx.org,Physicist,free,Physical Sciences
Life in the Universe: Syntheses for Life,https://www.edx.org/course/life-in-the-universe-syntheses-for-life,edx.org,Physicist,free,Physical Sciences
"Question Reality! Science, philosophy, and the search for meaning
",https://www.edx.org/course/question-reality-science-philosophy-and-the-search,edx.org,Physicist,free,Physical Sciences
Natural Disasters,https://www.edx.org/course/natural-disasters,edx.org,Physicist,,Physical Sciences
,,,Physicist,,Physical Sciences
,,,Physicist,,Physical Sciences
"Mechanics, Part 1",https://www.edx.org/course/introduction-to-mechanics-part-1,edx.org,Mechanical Engineer,free,Physical Sciences
"Mechanics, Part 2",https://www.edx.org/course/mechanics-part-2-2,edx.org,Mechanical Engineer,free,Physical Sciences
Mechanics: Simple Harmonic Motion,https://www.edx.org/course/mechanics-simple-harmonic-motion,edx.org,Mechanical Engineer,free,Physical Sciences
Mechanics: Rotational Dynamics,https://www.edx.org/course/mechanics-rotational-dynamics,edx.org,Mechanical Engineer,free,Physical Sciences
Thermodynamics,https://www.edx.org/course/thermodynamics,edx.org,Mechanical Engineer,free,Physical Sciences
Mechanics: Kinematics and Dynamics,https://www.edx.org/course/mechanics-kinematics-and-dynamics,edx.org,Mechanical Engineer,free,Physical Sciences
Mechanics: Momentum and Energy,https://www.edx.org/course/mechanics-momentum-and-energy,edx.org,Mechanical Engineer,free,Physical Sciences
Introductory Physics — Part 1: Mechanics and Waves,https://www.edx.org/course/introductory-physics-part-1-mechanics-and-waves,edx.org,Mechanical Engineer,free,Physical Sciences
Engineering Mechanics,https://www.edx.org/course/engineering-mechanics-2,edx.org,Mechanical Engineer,free,Physical Sciences
Dynamics,https://www.edx.org/course/dynamics-2,edx.org,Mechanical Engineer,free,Physical Sciences
"Mechanics: Motion, Forces, Energy and Gravity, from Particles to Planets",https://www.coursera.org/learn/mechanics-particles-planets,coursera.org,Mechanical Engineer,free,Physical Sciences
,,,Mechanical Engineer,,Physical Sciences
,,,Mechanical Engineer,,Physical Sciences
,,,Mechanical Engineer,,Physical Sciences
The Science of the Solar System,https://www.coursera.org/learn/solar-system?edocomorp=free-courses-high-school&ranMID=40328&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-3bYKDvu21VVf9J.DXUGc8A&siteID=SAyYsTvLiGQ-3bYKDvu21VVf9J.DXUGc8A&utm_content=10&utm_medium=partners&utm_source=linkshare&utm_campaign=SAyYsTvLiGQ,coursera.org,Solar Energy Physicist,free+certificate till 31.07,Physical Sciences
Solar Energy Engineering: Comprehensive Exams,https://www.edx.org/course/solar-energy-engineering-comprehensive-exams-2,edx.org,Solar Energy Physicist,free,Physical Sciences
Solar Energy,https://www.edx.org/course/solar-energy-3,edx.org,Solar Energy Physicist,free,Physical Sciences
Solar Energy: Photovoltaic (PV) Technologies,https://www.edx.org/course/solar-energy-photovoltaic-pv-technologies,edx.org,Solar Energy Physicist,free,Physical Sciences
Solar Energy: Integration of Photovoltaic Systems in Microgrids,https://www.edx.org/course/solar-energy-integration-of-photovoltaic-systems-i,edx.org,Solar Energy Physicist,free,Physical Sciences
Solar Energy: Photovoltaic (PV) Systems,https://www.edx.org/course/solar-energy-photovoltaic-pv-systems,edx.org,Solar Energy Physicist,free,Physical Sciences
Go Solar PV: The Business Potential of Solar Photovoltaics,https://www.futurelearn.com/courses/solar-pv,futurelearn.com,Solar Energy Physicist,,Physical Sciences
,,,Solar Energy Physicist,,Physical Sciences
Astronomy: Exploring Time and Space,https://www.coursera.org/learn/astro?edocomorp=free-courses-high-school&ranMID=40328&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-QuGNoTycE_sH.pkCYapmXw&siteID=SAyYsTvLiGQ-QuGNoTycE_sH.pkCYapmXw&utm_content=10&utm_medium=partners&utm_source=linkshare&utm_campaign=SAyYsTvLiGQ,coursera.org,Astrophysicists/Astronomer,free+certificate till 31.07,Physical Sciences
